filename,width,height,class,xmin,ymin,xmax,ymax
2117.jpg,256,256,pepperbell_bacterial,6,3,253,256
759.JPG,256,256,apple_healthy,19,7,233,237
1148.JPG,256,256,grape_black_rot,16,12,242,222
216.JPG,256,256,apple_black_rot,14,7,233,176
2858.jpg,256,256,pepperbell_healthy,17,5,233,232
1301.JPG,256,256,grape_black_rot,5,10,241,234
184.JPG,256,256,apple_black_rot,23,13,232,206
1343.JPG,256,256,grape_black_rot,29,13,253,256
1509.jpg,256,256,grape_healthy,17,19,246,251
1824.jpg,256,256,grape_healthy,9,29,246,231
1878.jpg,256,256,grape_healthy,42,20,220,245
1525.jpg,256,256,grape_healthy,7,12,240,235
2821.jpg,256,256,pepperbell_healthy,19,6,256,237
747.JPG,256,256,apple_healthy,35,11,214,242
2097.jpg,256,256,pepperbell_bacterial,7,1,232,251
656.JPG,256,256,apple_healthy,23,13,242,230
849.JPG,256,256,apple_healthy,42,6,229,187
2307.jpg,256,256,pepperbell_bacterial,31,11,229,243
1608.jpg,256,256,grape_healthy,29,7,205,224
1154.JPG,256,256,grape_black_rot,25,18,234,227
232.JPG,256,256,apple_black_rot,9,6,245,209
1814.jpg,256,256,grape_healthy,8,27,244,231
2471.jpg,256,256,pepperbell_healthy,12,1,248,256
2145.jpg,256,256,pepperbell_bacterial,11,5,247,251
2477.jpg,256,256,pepperbell_healthy,8,6,237,256
182.JPG,256,256,apple_black_rot,22,17,232,227
2248.jpg,256,256,pepperbell_bacterial,41,15,220,252
245.JPG,256,256,apple_black_rot,32,23,235,206
1842.jpg,256,256,grape_healthy,31,9,230,229
407.JPG,256,256,apple_black_rot,9,9,247,188
268.JPG,256,256,apple_black_rot,14,6,251,180
2840.jpg,256,256,pepperbell_healthy,17,2,245,256
164.JPG,256,256,apple_black_rot,20,13,233,202
2132.jpg,256,256,pepperbell_bacterial,9,16,242,232
2021.jpg,256,256,pepperbell_bacterial,32,14,229,247
695.JPG,256,256,apple_healthy,49,15,226,219
2760.jpg,256,256,pepperbell_healthy,12,6,240,256
1798.jpg,256,256,grape_healthy,15,22,251,223
1620.jpg,256,256,grape_healthy,25,8,236,243
600.JPG,256,256,apple_healthy,15,1,227,225
2042.jpg,256,256,pepperbell_bacterial,13,5,256,248
1470.jpg,256,256,grape_healthy,7,11,245,235
755.JPG,256,256,apple_healthy,12,17,238,245
606.JPG,256,256,apple_healthy,37,19,227,209
1752.jpg,256,256,grape_healthy,14,22,240,242
2458.jpg,256,256,pepperbell_healthy,14,6,242,252
404.JPG,256,256,apple_black_rot,32,4,255,183
1781.jpg,256,256,grape_healthy,24,13,221,214
2492.jpg,256,256,pepperbell_healthy,28,11,238,247
2370.jpg,256,256,pepperbell_bacterial,7,2,239,226
453.JPG,256,256,apple_black_rot,68,3,251,239
418.JPG,256,256,apple_black_rot,12,13,240,209
2077.jpg,256,256,pepperbell_bacterial,11,5,240,251
2823.jpg,256,256,pepperbell_healthy,5,2,244,223
1223.JPG,256,256,grape_black_rot,13,7,251,242
1619.jpg,256,256,grape_healthy,13,8,245,235
830.JPG,256,256,apple_healthy,18,15,233,239
1689.jpg,256,256,grape_healthy,14,30,247,245
1758.jpg,256,256,grape_healthy,19,2,252,256
2305.jpg,256,256,pepperbell_bacterial,22,5,242,234
390.JPG,256,256,apple_black_rot,22,16,230,185
1089.JPG,256,256,grape_black_rot,7,26,240,246
490.JPG,256,256,apple_healthy,19,16,236,230
698.JPG,256,256,apple_healthy,42,12,218,241
1925.jpg,256,256,pepperbell_bacterial,6,6,242,256
939.JPG,256,256,apple_healthy,6,6,230,231
170.JPG,256,256,apple_black_rot,15,14,247,227
103.JPG,256,256,apple_black_rot,14,3,250,183
1110.JPG,256,256,grape_black_rot,30,14,242,234
2715.jpg,256,256,pepperbell_healthy,13,4,231,256
398.JPG,256,256,apple_black_rot,45,5,256,251
2381.jpg,256,256,pepperbell_bacterial,5,1,247,249
842.JPG,256,256,apple_healthy,32,5,238,212
946.JPG,256,256,apple_healthy,9,18,223,242
284.JPG,256,256,apple_black_rot,32,12,239,251
1804.jpg,256,256,grape_healthy,30,20,239,247
1462.jpg,256,256,grape_healthy,2,7,243,230
949.JPG,256,256,apple_healthy,24,10,218,255
329.JPG,256,256,apple_black_rot,47,10,256,205
456.JPG,256,256,apple_black_rot,12,5,251,162
920.JPG,256,256,apple_healthy,39,34,256,246
1886.jpg,256,256,grape_healthy,21,1,254,254
275.JPG,256,256,apple_black_rot,17,15,227,226
1927.jpg,256,256,pepperbell_bacterial,18,8,244,253
919.JPG,256,256,apple_healthy,6,8,253,247
1614.jpg,256,256,grape_healthy,27,14,234,230
2377.jpg,256,256,pepperbell_bacterial,30,8,241,213
1734.jpg,256,256,grape_healthy,3,1,253,251
1408.JPG,256,256,grape_black_rot,24,12,238,242
899.JPG,256,256,apple_healthy,15,10,237,219
1338.JPG,256,256,grape_black_rot,22,9,244,246
1348.JPG,256,256,grape_black_rot,26,12,233,222
2376.jpg,256,256,pepperbell_bacterial,17,1,245,227
704.JPG,256,256,apple_healthy,11,11,249,228
1165.JPG,256,256,grape_black_rot,23,2,233,236
2838.jpg,256,256,pepperbell_healthy,4,7,245,256
2658.jpg,256,256,pepperbell_healthy,19,6,237,249
2609.jpg,256,256,pepperbell_healthy,16,6,243,249
932.JPG,256,256,apple_healthy,21,10,228,242
506.JPG,256,256,apple_healthy,13,12,215,236
1891.jpg,256,256,grape_healthy,32,14,230,241
1333.JPG,256,256,grape_black_rot,27,21,216,235
209.JPG,256,256,apple_black_rot,9,8,246,180
2372.jpg,256,256,pepperbell_bacterial,34,7,240,235
2418.jpg,256,256,pepperbell_healthy,14,12,247,251
2487.jpg,256,256,pepperbell_healthy,14,2,256,251
2505.jpg,256,256,pepperbell_healthy,29,9,204,254
2319.jpg,256,256,pepperbell_bacterial,14,4,241,247
2618.jpg,256,256,pepperbell_healthy,9,8,226,247
1022.JPG,256,256,grape_black_rot,12,2,231,241
2792.jpg,256,256,pepperbell_healthy,22,6,233,236
1334.JPG,256,256,grape_black_rot,13,5,237,246
403.JPG,256,256,apple_black_rot,11,6,245,177
413.JPG,256,256,apple_black_rot,11,5,249,248
1610.jpg,256,256,grape_healthy,21,8,230,238
269.JPG,256,256,apple_black_rot,5,6,250,204
2731.jpg,256,256,pepperbell_healthy,12,12,232,243
1834.jpg,256,256,grape_healthy,8,13,232,249
2063.jpg,256,256,pepperbell_bacterial,24,8,232,253
455.JPG,256,256,apple_black_rot,15,18,242,241
2174.jpg,256,256,pepperbell_bacterial,22,6,241,232
2873.jpg,256,256,pepperbell_healthy,14,3,236,252
983.JPG,256,256,grape_black_rot,12,8,225,239
745.JPG,256,256,apple_healthy,39,11,206,247
1976.jpg,256,256,pepperbell_bacterial,9,11,250,225
2807.jpg,256,256,pepperbell_healthy,12,8,240,256
1791.jpg,256,256,grape_healthy,26,6,239,249
2818.jpg,256,256,pepperbell_healthy,21,10,241,253
219.JPG,256,256,apple_black_rot,42,13,223,169
1697.jpg,256,256,grape_healthy,11,7,241,246
1882.jpg,256,256,grape_healthy,23,11,246,247
89.JPG,256,256,apple_black_rot,23,14,242,196
1876.jpg,256,256,grape_healthy,19,13,243,239
966.JPG,256,256,grape_black_rot,31,24,222,249
1851.jpg,256,256,grape_healthy,21,19,227,237
2775.jpg,256,256,pepperbell_healthy,34,7,237,256
1159.JPG,256,256,grape_black_rot,9,23,243,229
441.JPG,256,256,apple_black_rot,14,12,228,169
66.JPG,256,256,apple_black_rot,20,18,235,209
1607.jpg,256,256,grape_healthy,29,3,238,251
2803.jpg,256,256,pepperbell_healthy,21,7,238,255
1797.jpg,256,256,grape_healthy,18,4,248,248
1498.jpg,256,256,grape_healthy,16,1,235,242
636.JPG,256,256,apple_healthy,18,13,239,221
1727.jpg,256,256,grape_healthy,37,21,248,236
101.JPG,256,256,apple_black_rot,20,13,239,172
4.JPG,256,256,apple_black_rot,7,5,251,189
1795.jpg,256,256,grape_healthy,17,13,224,236
974.JPG,256,256,grape_black_rot,11,16,234,233
750.JPG,256,256,apple_healthy,14,42,229,256
2067.jpg,256,256,pepperbell_bacterial,10,2,244,248
2168.jpg,256,256,pepperbell_bacterial,25,3,243,233
638.JPG,256,256,apple_healthy,36,29,237,228
1843.jpg,256,256,grape_healthy,17,1,230,242
2118.jpg,256,256,pepperbell_bacterial,11,5,228,256
2758.jpg,256,256,pepperbell_healthy,7,1,245,256
1246.JPG,256,256,grape_black_rot,16,11,223,238
2066.jpg,256,256,pepperbell_bacterial,34,4,250,249
2604.jpg,256,256,pepperbell_healthy,47,8,245,256
1745.jpg,256,256,grape_healthy,26,14,222,251
2303.jpg,256,256,pepperbell_bacterial,24,6,249,248
1094.JPG,256,256,grape_black_rot,16,14,230,247
1436.JPG,256,256,grape_black_rot,49,31,231,227
311.JPG,256,256,apple_black_rot,18,5,241,209
2837.jpg,256,256,pepperbell_healthy,18,6,210,256
1311.JPG,256,256,grape_black_rot,13,19,247,233
2257.jpg,256,256,pepperbell_bacterial,9,4,249,247
2689.jpg,256,256,pepperbell_healthy,12,5,232,256
1938.jpg,256,256,pepperbell_bacterial,18,8,251,238
2189.jpg,256,256,pepperbell_bacterial,23,2,246,246
1244.JPG,256,256,grape_black_rot,25,24,232,230
1422.JPG,256,256,grape_black_rot,52,13,239,234
770.JPG,256,256,apple_healthy,58,8,255,256
2643.jpg,256,256,pepperbell_healthy,6,3,249,253
965.JPG,256,256,grape_black_rot,1,18,234,256
2864.jpg,256,256,pepperbell_healthy,11,8,240,256
2712.jpg,256,256,pepperbell_healthy,19,25,229,256
1097.JPG,256,256,grape_black_rot,12,21,237,240
603.JPG,256,256,apple_healthy,39,30,242,256
1948.jpg,256,256,pepperbell_bacterial,19,5,245,175
2724.jpg,256,256,pepperbell_healthy,4,11,247,256
2711.jpg,256,256,pepperbell_healthy,24,1,236,239
1749.jpg,256,256,grape_healthy,8,7,246,227
809.JPG,256,256,apple_healthy,55,5,198,250
945.JPG,256,256,apple_healthy,20,34,229,230
1828.jpg,256,256,grape_healthy,10,10,237,242
249.JPG,256,256,apple_black_rot,13,14,242,220
2509.jpg,256,256,pepperbell_healthy,14,4,242,211
676.JPG,256,256,apple_healthy,35,12,232,223
426.JPG,256,256,apple_black_rot,13,8,256,185
1716.jpg,256,256,grape_healthy,9,13,239,253
1885.jpg,256,256,grape_healthy,25,2,239,253
954.JPG,256,256,apple_healthy,35,9,203,235
2831.jpg,256,256,pepperbell_healthy,18,7,256,236
2734.jpg,256,256,pepperbell_healthy,27,10,215,256
1770.jpg,256,256,grape_healthy,15,4,248,256
1526.jpg,256,256,grape_healthy,10,2,252,252
1149.JPG,256,256,grape_black_rot,6,22,235,244
1602.jpg,256,256,grape_healthy,25,14,238,227
788.JPG,256,256,apple_healthy,18,12,247,182
652.JPG,256,256,apple_healthy,25,33,239,230
991.JPG,256,256,grape_black_rot,15,16,249,233
2098.jpg,256,256,pepperbell_bacterial,4,9,241,256
1372.JPG,256,256,grape_black_rot,23,6,247,239
331.JPG,256,256,apple_black_rot,15,18,235,227
1832.jpg,256,256,grape_healthy,19,18,250,235
2802.jpg,256,256,pepperbell_healthy,31,10,233,256
541.JPG,256,256,apple_healthy,24,5,217,254
2083.jpg,256,256,pepperbell_bacterial,11,4,242,247
1808.jpg,256,256,grape_healthy,16,9,227,242
733.JPG,256,256,apple_healthy,9,24,193,232
2612.jpg,256,256,pepperbell_healthy,11,6,228,253
614.JPG,256,256,apple_healthy,24,19,237,233
727.JPG,256,256,apple_healthy,20,11,245,216
2108.jpg,256,256,pepperbell_bacterial,34,9,251,241
79.JPG,256,256,apple_black_rot,7,6,231,197
1712.jpg,256,256,grape_healthy,36,12,233,223
2695.jpg,256,256,pepperbell_healthy,27,9,255,244
1933.jpg,256,256,pepperbell_bacterial,24,1,226,243
2025.jpg,256,256,pepperbell_bacterial,46,1,244,256
2406.jpg,256,256,pepperbell_healthy,23,9,252,256
2336.jpg,256,256,pepperbell_bacterial,42,6,220,251
1872.jpg,256,256,grape_healthy,17,2,247,249
238.JPG,256,256,apple_black_rot,15,14,247,234
1322.JPG,256,256,grape_black_rot,6,19,249,226
